stat,hard,koef_hard,line,fs1_public,prest,p2,p3,p1_1,p1_2,punkt,kodific,f10r13p1,f10r14p1_1,f10r14p1_2,f10r151_03,f10r14p1_6,f10r18p1,f10r18p1_2,f10r19p1um,f10r19p113,f10r19p114,f10r19p121,f10r211p1,f10r22p1,f10r24p1,f10r24p1gr,f10r24p2,f10r24p3,f10r25p1,f10r25p1gr,f10r25p2,f10r25p3,f10r27p1,f11r9p1_05,f11r9_no11,f11r9p1_21,f11r9p1_22,f11r9p1212,f11r9_no01,f11r91_24,f11r10no13,f11r17_01,f11r17_02,f11r17_03,f11r17_04,f11r17_07,f20r30_82,f60r15,f60r15p7,status,ord_r,fe1r32p1,fe1r33p1,fe1r33_16,fe1r331_12,fe1r331_20,fe1r34_04,fe1r351p1,fe2r18_33,fl1,fl1_2,fl1_wom,fl1_bwom,fl1_ml,fl1_nl,fl1u,fl1u_2,fl1u_wom,fl1u_bwom,fl1u_ml,fl1u_nl,fs1_neost,fs1r566_3o,fs1r567_1o,fs1r567_2,fs1r567_3o,fs1r567_4o,fs1r62_21,fs1r62_02,fs1r62_03,fs1r62_05,fs1r62_06,fs1r62_07,fs1r62_08,fs1r62_09,fs1r62_10,fs1r62_11,fs1r62_12,fs1r62_16,fs1r70_01,fs1r64,fs1r64_add,fs1r64_nn,fs1r64_0,fs1r64_05n,fs1r64_05x,fs1r64_06n,fs1r64_06x,fs1r64_09n,fs1r64_09x,fs1r64_12n,fs1r64_12x,fs1r64_11n,fs1r64_11x,fs1r64_01n,fs1r64_01x,fs1r65_o,fs1r65_n,fs1r65_02n,fs1r65_02x,d_izm,id
ст.99 ч.1,4,13240,1,,1,0990001,FE1R10P1,Убийство,Адам ґлтiру,,,,,,,,,,,ALL,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,NO,,,,,,ALL,,,,,,ALL,,,,,,,,,ALL,,,,ALL,,,,,,,,,,,,01,,"05,06,11,",,,,,,,,,,,,8,15,,,,,2015-01-01,1
ст.99 ч.1,4,13230,1,,1,0990001,FE1R10P1,Убийство,Адам ґлтiру,,,,,,,,,,,ALL,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,NO,,,,,,ALL,,,,,,ALL,,,,,,,,,ALL,,,,ALL,,,,,,,,,,,,01,,"05,06,11,",,,,,,,,,,,,8,15,,,,,2015-01-01,2
ст.99 ч.1,4,13240,1,,1,0990001,FE1R10P1,Убийство,Адам ґлтiру,,,,,,,,,,,ALL,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,ALL,,,,,,,,,ALL,,,,ALL,,,,,,,,,,,,01,,"05,06,11,",,,,,,,,,,,,8,15,,,,,2024-06-15,3
ст.99 ч.2,4,14470,1,,1,0990002,FE1R10P1,Убийство,Адам ґлтiру,"01,02,03,04,05,06,07,08,09,10,11,12,13,14,15",,,,,07,07,07,,13,ALL,01,,14,04,ALL,,,,,,,,09,11,02,03,,05,,,12,,06,15,,,08,,,2,0,,,NO,08>,11>,,,,ALL,01,04,04,,14,ALL,01,04,04,,14,,14,,ALL,,,13,,"07,",,10,"03,04",02,05,06,15,,,15,"01,03",,"05,06,11,",,,,,,,,,,,,15,20,,01,,,2015-01-01,4
ст.99 ч.2,4,14500,1,,1,0990002,FE1R10P1,Убийство,Адам ґлтiру,"01,02,03,04,05,06,07,08,09,10,11,12,13,14,15",,,,,07,07,07,,13,ALL,01,,14,04,ALL,,,,,,,,09,11,02,03,,05,,,12,,06,15,,,08,,,1,0,,,NO,08>,11>,,,,ALL,01,04,04,,14,ALL,01,04,04,,14,,14,,ALL,,,13,,"07,",,10,"03,04",02,05,06,15,,,15,"01,03",,"05,06,11,",,,,,,,,,,,,15,20,,01,,,2024-06-15,5
ст.99 ч.2,4,14500,1,,1,0990002,FE1R10P1,Убийство,Адам ґлтiру,"01,02,03,04,05,06,07,08,09,10,11,12,13,14,15",,,,,07,07,07,,13,ALL,01,,14,04,ALL,,,,,,,,09,11,02,03,,05,,,12,,06,15,,,08,,,2,0,,,NO,08>,11>,,,,ALL,01,04,04,,14,ALL,01,04,04,,14,,14,,ALL,,,13,,"07,",,10,"03,04",02,05,06,15,,,15,"01,03",,"05,06,11,",,,,,,,,,,,,15,20,,01,,,2015-01-01,6
ст.99 ч.3,4,14700,1,,1,0990003,FE1R10P1,Убийство,Адам ґлтiру,,,,,,,,,,,ALL,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,NO,,,,,,ALL,,,,ALL,ALL,ALL,,,,ALL,ALL,,ALL,,ALL,,,,,,,,ALL,,,,,,,,"01,03",,"05,06,11,",,,,,,,,,,,,20,20,22,01,,,2020-01-11,7
ст.99 ч.3,4,14700,1,,1,0990003,FE1R10P1,Убийство,Адам ґлтiру,,,,,,,,,,,ALL,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,ALL,ALL,ALL,,,,ALL,ALL,,ALL,,ALL,,,,,,,,ALL,,,,,,,,03,1,"01,05,06,11,",,,,,,,,,,,,,,,,,,2024-06-15,8
ст.100,2,5490,1,,1,1000001,FE1R10P1,Убийство матерью новорожденного ребенка,Жаѕа туєан баланы анасыныѕ ґлтiруi,,,,,,,,,,,ALL,,,ALL,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,ALL,,ALL,,,,ALL,,,ALL,,,,,,ALL,,,,,,,,,,,,"11,01",,"05,06,",,,,,,,,,,,4,,4,,,,,2015-01-01,9
ст.101 ч.1,2,4120,1,,1,1010001,FE1R10P1,"Убийство, совершенное в состоянии аффекта",Аффект жаєдайында жасалєан адам ґлтiру,,,,,,,,,,,ALL,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,ALL,,,,,,,,,,,,,ALL,,,,,,,,,,,,"11,01",,"05,06,",,,,,,,,,,,3,,3,,,,,2015-01-01,10
ст.101 ч.2,2,6050,1,,1,1010002,FE1R10P1,"Убийство, совершенное в состоянии аффекта",Аффект жаєдайында жасалєан адам ґлтiру,,,,,,,,,,,ALL,2,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,ALL,,,,,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,01,,"05,06,11,",,,,,,,,,,,,,5,,,,,2015-01-01,11
ст.102,1,2370,1,,1,1020001,FE1R10P1,"Убийство, совершенное при превышении пределов необ",Ќажеттi ќорєаныс шегiнен шыєу кезiнде жасалєан ада,,,,,,,,,,,ALL,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,ALL,,,,,,,,,,,,,ALL,,,,,,,,,,,,"11,01",,"05,06,",,,,,,,,,,,2,,2,,,,,2015-01-01,12
ст.103,2,4130,1,,1,1030001,FE1R10P1,"Убийство, совершенное при превышении мер, необходи",Ќылмыс жасаєан адамды ўстап алу їшiн ќажеттi шарал,,,,,,,,,,,ALL,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,ALL,,,,,,,,,,,,,ALL,,,,,,,,,,,,"11,01",,"05,06,",,,,,,,,,,,3,,3,,,,,2015-01-01,13
ст.104 ч.1,1,4110,1,,1,1040001,FE1R10P1,Причинение смерти по неосторожности,Абайсызда ќазаєа ўшырату,,,,,,,,,,,ALL,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,ALL,,,,,,ALL,,,,,,,ALL,,,,,,,,,,,,"11,01",,"05,06,",,,,,,,,,,,3,,3,,,,,2015-01-01,14
ст.104 ч.2,1,6390,1,,1,1040002,FE1R10P1,Причинение смерти по неосторожности,Абайсызда ќазаєа ўшырату,,,,,,,,,,,ALL,ALL,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,ALL,,,,,,ALL,,,,,,,,,,,,,,,,,,,"11,01",,"05,06,",,,,,,,,,,,5,,5,,,,,2015-01-01,15
ст.105 ч.1,2,4200,1,,1,1050001,FE1R10P1,"Доведение до самоубийства, склонение к совершению","Ґзін-ґзі ґлтіруге дейін жеткізу, ґзін-ґзі ґлтіруге",,,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,,,,,,,,,,,"11,01",,"05,06,",,,,,,,,,,,3,,3,,,,,2024-06-15,16
ст.105 ч.1,2,4140,1,,1,1050001,FE1R10P1,Доведение до самоубийства,Ґзiн-ґзi ґлтiруге дейiн жеткiзу,,,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,,,,,,,,,,,"11,01",,"05,06,",,,,,,,,,,,3,,3,,,,,2015-01-01,17
ст.105 ч.1,2,4180,1,,1,1050001,FE1R10P1,Доведение до самоубийства,Ґзiн-ґзi ґлтiруге дейiн жеткiзу,,,,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,NO,,,,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,,,,,,,,,,,"11,01",,"05,06,",,,,,,,,,,,3,,3,,,,,2019-01-09,18
